MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
,,,BREAKFAST,,,
"BREAD, BUTTER, JAM","BREAD, BUTTER, JAM","BREAD, BUTTER, JAM","BREAD, BUTTER, JAM","BREAD, BUTTER, JAM","BREAD, BUTTER, JAM","BREAD, BUTTER, JAM"
"MILK, TEA, COFEE","MILK, TEA, COFEE","MILK, TEA, COFEE","MILK, TEA, COFEE","MILK, TEA, COFEE","MILK, TEA, COFEE","MILK, TEA, COFEE"
BANANA / FRUIT SALAD,BANANA / FRUIT SALAD,BANANA / FRUIT SALAD,BANANA / FRUIT SALAD,BANANA / FRUIT SALAD,BANANA / FRUIT SALAD,BANANA / FRUIT SALAD
,,,,PLAIN / CARROT / PODI / TOMATO /,,
"IDLY, VADA, SAMBAR","POHA, KICHADI",PLAIN / ALLO / METHI / ATTA PARATHA,VERMICELLI / RAVA /ATTA UPPUMA,,AMRITSARI CHOLE BHATURE,PLAIN / MASALA / OTHER VERITIES DOSA
,,,,UTHAPPAM,,
,,,,COCONUT / ONION AND TOMATO,,
COCONUT/ TOMATO / MINT CHUTNEY,JELABI,"CURD, TOMATO SAUCE, PICKLE, ALLO GRAVY","VADA, COCONUT CHUTNEY",,-,"SAMBAR , CHILLY & TOMATO CHUTNEY"
,,,,CHUTNEY,,
BOILED EGG / SPROUTS,-,BOILED EGG / SPROUTS,WARM LEMON WATER,IDLY PODI with SESAME OIL,BOILED EGG / SPROUTS,-
,,,LUNCH,,,
MIX SALAD,CUCUMBER SALAD,TOMATO SOUP,MIX SALAD,PLAIN BRIYANI,MIXED SALAD,CUCUMBER SALAD
GREEN VEGETABLE,ALOO DUM /GREEN VEG,BHINDI MASALA,LOKI DAL KI SABJI / BEETROOT PORIYAL,VEG 65 /VEG AVIYAL,ALOO MATAR / VEG AVIAL,BRINGAL GRAVY
CHAPATHI,CHAPATHI,CHAPATHI,CHAPATHI,CHAPATHI,CHAPATHI,CHAPPATI
,,,,,MINT / LEMON/ TOMATO / TAMARIND,CHICKEN / SOYA AND VEGETABLE
PLAIN & JEERA RICE,PLAIN RICE,PLAIN & JEERA RICE,PLAIN RICE,PLAIN RICE,,
,,,,,RICE,BRIYANI
RAJMA,MASOOR DAL,DAL FRY (MONG),PANCHMEL DAL,RAJMA MASALA,MONG DAL,PANNER BUTTER MASALA
,BHINDI / BOTTLE GOURD MORE,,,,,
ONION KARA KUZHAMBU,,VEGETABLE SAMBAR,DRUMSTICK SAMBAR,BRINJAL KUZHAMBU,MEAL MEKAR MASALA,ONION RAITHA
,KUZHAMBU / KADHI PAKODA,,,,,
"FRYUMS, PICKLE","RASAM, PICKLE",RASAM,RASAM,ONION RAITHA,APPALAM,LEMON JUICE
FRUIT HALWA,JALJIRA JUICE,BOONDI RAITA / BUTTER MILK,CURD /BUTTER MILK,LEMON JUICE,BUTTER MILK,-
,,,SNACKS,,,
VEG ROLE / SWEET OR MASALA CORN,,,,,,
,SMALL POORI,PAKODA / ALLO SAMOSA,PAV BHAJI,DHOKLA,BOILED CHANA / MUNG BEAN,MEDU / MASALA VADA
/BHEL PURI,,,,,,
TOMATO SAUCE,PANI / MASALA,TOMATO SAUCE,-,GREEN CHUTNEY,-,CHUTNEY
TEA / COFEE / MILK,TEA / COFEE / MILK,TEA / COFEE / MILK,TEA / COFEE / MILK,TEA / COFEE / MILK,TEA / COFEE / MILK,TEA / COFEE / MILK
,,,DINNER,,,
CHAPPATI,CHAPPATHI,CHAPATHI,CHAPATHI,CHAPATHI,CHAPATHI,CHAPATHI
RICE,"PULAO, RICE",RICE,RICE,RICE,FRIED RICE,RICE
PLAIN DAL,DAL MAHARANI,DAL TADKA,DAL FRY,RAJMA MASALA,MOONG MASOOR DAL,BHINDI BHAJI
,,,,PANNER DO PYAZA / CHICKEN,,
KADAI VEG / EGG CURRY,GREEN VEG GRAVY,PANNER / CHICKEN KADAI,GREEN PEAS ALLO MASALA,,VEGMANCHURIAN,DAL-MAKHANI
,,,,CURRY,,
RASAM,PAYASAM / KHEER,RASAM,TOMATO / HOT & SOUR SOUP,RASAM,LENTIL / VEG MONCHOW SOUP,GULAB JAMUN
,HIGHLIGHTS,,,Do's and Don'ts,,
